seed,mean_fold_auc,std_fold_auc,oof_auc
21,0.8652742588132089,0.0025336175562311936,0.8652160991175915
2024,0.8651709833321568,0.0024367213802899434,0.8651266747845326
7,0.8651266563239293,0.004317436320771806,0.865050381794334
42,0.8648646643369412,0.0024523996829746335,0.8648450389760209
0,0.8648823417756851,0.0027867744511115254,0.8647824912180296
100,0.8647769430543655,0.005210266622572039,0.8646637764984824
3407,0.8645941751569317,0.005539681895598758,0.8643958192031779
